id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
10054,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Reebok Kids Kkr Boy's Premium Blue Jerseys
48549,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Wrangler Women Black Belt
12367,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Reid & Taylor Men White Shirt
54572,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012.0,Ethnic,Sushilas Women Multi Coloured Kurta
12155,Women,Apparel,Bottomwear,Leggings,Beige,Fall,2011.0,Ethnic,Aurelia Women Solid Beige Leggings
59863,Women,Personal Care,Skin Care,Eye Cream,Black,Spring,2017.0,Casual,Olay Women Total Effects Anti-Ageing Eye Cream
15370,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2011.0,Casual,Urban Yoga Women Solid Pink Sweatshirts
1609,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2010.0,Sports,Reebok Women Boat-Neck Wildberry Sweatshirt
17847,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Impetus II White Sports Shoe
35925,Women,Accessories,Bags,Clutches,Yellow,Summer,2012.0,Casual,Peperone Women Yellow Clutch
56679,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Portia Women Brown Sandals
26956,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Jealous 21 Women Black Top
41098,Women,Apparel,Topwear,Tops,Cream,Summer,2012.0,Casual,Allen Solly Woman Cream Top
6874,Women,Apparel,Dress,Dresses,Pink,Summer,2011.0,Casual,Forever New Women Pink Sleeveless Dress
49033,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring
43509,Women,Apparel,Dress,Dresses,Grey Melange,Summer,2012.0,Casual,French Connection Women Grey Melange Dress
6880,Women,Apparel,Topwear,Jackets,Black,Summer,2011.0,Casual,Forever New Women Long Black Jacket
52823,Women,Accessories,Jewellery,Earrings,Green,Summer,2012.0,Casual,Adrika Green Earrings
19929,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011.0,Formal,Reid & Taylor Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack
23088,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Casual,Arrow Sport Men Dk.Grey Brown Trousers
55834,Women,Personal Care,Beauty Accessories,Beauty Accessory,Skin,Spring,2017.0,Casual,Colorbar Miss Reflective Body Shimmer 001
55008,Women,Personal Care,Lips,Lip Gloss,Maroon,Spring,2017.0,,Lakme Sheer Satin Lip Gloss 41
39720,Women,Apparel,Dress,Jumpsuit,Olive,Summer,2012.0,Casual,Arrow Woman Olive Jumpsuit
9803,Women,Apparel,Topwear,Tunics,Navy Blue,Fall,2011.0,Casual,Scullers For Her Women Scullers Top Navy Blue Tops
26367,Women,Apparel,Topwear,Shirts,Lavender,Summer,2012.0,,Arrow Woman Lavender Shirt
6245,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,UCB Men's Contrast Logo Grey T-shirt
19788,Men,Apparel,Topwear,Tshirts,Green,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Green Tshirt
42074,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,American Tourister Men Black Coin Passcase Wallet
18830,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Formal,Peter England Men Formal Black Belt
16196,Men,Apparel,Topwear,Jackets,Red,Fall,2011.0,Sports,Puma Men Heroes Red Jackets
5296,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Puma Men Black Floater
41605,Men,Apparel,Topwear,Shirts,Grey,Fall,2012.0,Casual,Basics Men Grey Shirt
58728,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Puma Women Pink T-shirt
7707,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,Jealous 21 Women's Abbie Black Jegging
2275,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens Challenger Graphic White T-shirt
27625,Men,Apparel,Bottomwear,Shorts,Grey,Summer,2012.0,Casual,Scullers Men Grey Shorts
55205,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Lakme Lip Love Dark Desire Lipstick B122A
41437,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Sports,Lee Cooper Men White Sports Shoes
14635,Men,Accessories,Mufflers,Mufflers,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Mufflers
31324,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Aurelia Women Printed Blue Kurta
43704,Women,Accessories,Jewellery,Jewellery Set,Green,Summer,2012.0,Casual,Royal Diadem Green Earring & Pendant Set
57136,Women,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Casual,Elle Women Black Trousers
25516,Boys,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Doodle Kids Boys Airfeild Red T-Shirt
33641,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,Lotto Men Black Koro G Slippers
36333,Men,Accessories,Socks,Socks,White,Summer,2016.0,Casual,Playboy Men White & Red Socks
31116,Boys,Apparel,Bottomwear,Shorts,Grey,Summer,2012.0,Casual,Gini and Jony Boys Grey Shorts
43536,Women,Apparel,Topwear,Tops,Peach,Summer,2012.0,Casual,French Connection Women Peach Top
54521,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Sports,F Sports Men White Voyager Sports Shoes
50181,Women,Personal Care,Makeup,Kajal and Eyeliner,Beige,Spring,2017.0,Casual,Peperone Women Beige Handbag
1808,Unisex,Accessories,Water Bottle,Water Bottle,Purple,Fall,2010.0,Sports,Quechua Aluminium Print Water Bottle
4774,Women,Apparel,Bottomwear,Track Pants,Pink,Summer,2011.0,Sports,ADIDAS Women 3S Pink Track Pants
54713,Women,Apparel,Apparel Set,Kurta Sets,Cream,Fall,2012.0,Ethnic,Shree Women Cream-Coloured & Pink Printed Salwar Suit with Dupatta
23225,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,Aneri Women Tibett Pink Kurta
53360,Women,Accessories,Wallets,Wallets,Pink,Summer,2012.0,Casual,Puma Woman Pink Big Cat Wallet
52848,Women,Accessories,Jewellery,Earrings,Green,Summer,2012.0,Casual,Adrika Women Green Earrings
43334,Women,Accessories,Bags,Handbags,Maroon,Spring,2013.0,Casual,Murcia Women Maroon Handbag
53394,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012.0,Ethnic,Alma Women Blue and Sea Green Printed Kurta
33271,Girls,Apparel,Bottomwear,Skirts,Red,Summer,2012.0,Casual,Gini and Jony Girls Red Skirt
57734,Women,Personal Care,Lips,Lip Care,Maroon,Spring,2017.0,,Lotus Herbals Fruity Fusion Lip Balm
27027,Women,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Jealous 21 Women Blue Shorts
23487,Men,Accessories,Scarves,Scarves,Grey,Summer,2012.0,Casual,Arrow Men Grey Scarf
52622,Women,Accessories,Bags,Handbags,Purple,Summer,2012.0,Casual,Mod-acc Women Purple Handbag
25542,Women,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Wrangler Women Striper Tank Yellow Top
7939,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Graphic Optic Black Silver T-shirt
10804,Men,Footwear,Flip Flops,Flip Flops,White,Fall,2011.0,Casual,Wrangler Men Rider Solid White Shirts
39780,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Casual,Peter England Men Yellow Casual Shirts
48525,Women,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,French Connection Women White & Blue  Striped Dress
6478,Men,Apparel,Topwear,Jackets,Grey,Summer,2011.0,Casual,ADIDAS Men Top Grey Jacket
52883,Women,Apparel,Saree,Sarees,Blue,Fall,2012.0,Ethnic,FNF Printed Blue Sari
38460,Women,Accessories,Bags,Mobile Pouch,Green,Summer,2012.0,Casual,Baggit Women Green Pinto Checksy Mobile Pouch
42649,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Alma Women Black Kurta
57995,Women,Apparel,Dress,Dresses,Black,Fall,2012.0,Casual,Latin Quarters Women & White Black Dress
40922,Boys,Apparel,Topwear,Jackets,Blue,Summer,2012.0,Casual,Gini and Jony Boys Rodeo Blue Jacket
38838,Women,Apparel,Dress,Dresses,Pink,Fall,2012.0,Casual,Latin Quarters Women Pink & Black Printed Dress
21915,Women,Apparel,Apparel Set,Kurta Sets,Orange,Fall,2011.0,Ethnic,Biba Women Orange & Purple Printed Churidar Kurta with Dupatta
25589,Women,Apparel,Apparel Set,Kurta Sets,Green,Fall,2011.0,Ethnic,Vishudh Women Green Churidar Kurta with Dupatta
38236,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Polaroid Unisex Sunglasses
26902,Women,Apparel,Topwear,Tops,Lavender,Summer,2012.0,Casual,Jealous 21 Women Printed Lavender Top
8172,Women,Footwear,Shoes,Heels,Blue,Winter,2015.0,Casual,Catwalk Women Slim Casual Beige Wedges
48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,French Connection Men Blue Jeans
50378,Women,Apparel,Bottomwear,Salwar and Dupatta,White,Summer,2012.0,Ethnic,Vishudh Women Red & White Salwar and Dupatta
39122,Women,Apparel,Bottomwear,Leggings,Blue,Fall,2012.0,Casual,Aneri Women Blue Leggings
36358,Men,Accessories,Ties,Ties,Red,Summer,2012.0,Formal,Reid & Taylor Men Red Tie
46813,Girls,Apparel,Bottomwear,Skirts,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Skirt
30893,Women,Apparel,Bottomwear,Patiala,White,Summer,2012.0,Ethnic,Fabindia Women Printed White & Blue Patiala
58743,Men,Apparel,Topwear,Tshirts,Olive,Fall,2012.0,Casual,Puma Men Olive T-shirt
55860,Women,Personal Care,Nails,Nail Polish,Lavender,Spring,2017.0,Casual,Colorbar Pro Dazzling Mauve Nail Lacquer 008
49631,Women,Apparel,Dress,Dresses,Cream,Summer,2012.0,Casual,Mineral Cream Dress
25925,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Femella Women Purple T-Shirt
58571,Men,Apparel,Bottomwear,Shorts,Black,Summer,2012.0,Casual,Puma Men Black Shorts
57165,Women,Apparel,Topwear,Tops,Magenta,Summer,2012.0,Casual,Elle Women Magenta Clash Top
42685,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Alma Women White Printed Kurta
55632,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Flats
28854,Men,Apparel,Topwear,Tshirts,Lavender,Summer,2012.0,Casual,Proline Men Mauve T-shirt
46017,Women,Apparel,Topwear,Kurtas,Orange,Summer,2012.0,Ethnic,Fabindia Women Orange Printed Kurta
7330,Men,Footwear,Sandal,Sandals,Black,Summer,2013.0,Casual,Red Tape Men Strappy Black Floater
20205,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Casual,Wrangler Men Flock Print Grey Sweatshirt
39328,Girls,Apparel,Bottomwear,Shorts,Green,Summer,2012.0,Casual,Gini and Jony Girls Green Shorts
18299,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Aneri Women Zeenat Black Kurta
15586,Men,Apparel,Topwear,Sweatshirts,Green,Fall,2011.0,Casual,Proline Men Green Printed Sweatshirt
5003,Women,Apparel,Bottomwear,Shorts,Blue,Summer,2011.0,Casual,Gini and Jony Girl's Arella Blue Kidswear
57733,Women,Personal Care,Lips,Lip Care,Brown,Spring,2017.0,,Lotus Herbals Cocoa Lip Balm
32196,Men,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Fabindia Men Printed Blue Kurta
33044,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Mother Earth Women Printed Blue Kurta
13443,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,United Colors of Benetton Women Solid White Tops
2014,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Sports,ADIDAS Men's Classic Yellow Polo T-shirt
18897,Women,Apparel,Dress,Dresses,Green,Fall,2011.0,Casual,Arrow Woman Solid Green Dress
34261,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Printed Red T-shirt
54142,Women,Footwear,Shoes,Heels,Beige,Winter,2012.0,Casual,Rocia Women Beige Sandals
51430,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Myntra Men Navy Blue & Orange Check Shirt
56615,Women,Personal Care,Makeup,Highlighter and Blush,Rose,Spring,2017.0,Casual,Streetwear Stay On Mineral Rose Swirl Blusher
4919,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Gini and Jony Girl's Veeya Pink Kidswear
10000,Women,Apparel,Bottomwear,Skirts,White,Summer,2011.0,Casual,Palm Tree Girls Sp Jace Sko White Skirts
23222,Women,Apparel,Topwear,Kurtas,Red,Fall,2011.0,Ethnic,Aneri Women Freya Red Kurta
44586,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Tino Blue Jeans
4773,Women,Apparel,Bottomwear,Capris,Blue,Summer,2011.0,Sports,ADIDAS Women 3S Blue Capri
15324,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Sports,Nike Men Printed White Sweatshirts
21111,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,s.Oliver Women Check Purple Top
12101,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,W Women Printed Pink Kurtas
54714,Women,Apparel,Apparel Set,Kurta Sets,Charcoal,Summer,2012.0,Ethnic,Shree Women Charcoal Grey & Sea Green Printed Salwar Suit with Dupatta
51266,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Parx Men Black Belt
12333,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Spykar Women Ep Jeans Blue Jeans
54526,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Sports,F Sports Men White Zero Gravity Sports Shoes
18609,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Casual,Puma Men Polo Red Tshirt
17641,Unisex,Accessories,Headwear,Headband,White,Fall,2013.0,Sports,Puma Unisex Cat White Headband
15116,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,Arrow Men TR Finish Grey Trousers
19146,Men,Apparel,Topwear,Sweatshirts,Grey,Summer,2011.0,Casual,United Colors of Benetton Men Solid Grey Sweatshirt
41669,Women,Footwear,Shoes,Heels,Silver,Winter,2012.0,Casual,Catwalk Women Silver Heels
33249,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Arrow Men Blue Striped Shirt
46814,Girls,Apparel,Bottomwear,Skirts,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Skirt
43768,Women,Accessories,Jewellery,Earrings,Black,Summer,2012.0,Casual,Royal Diadem Black Earrings
28265,Men,Personal Care,Fragrance,Deodorant,Blue,Spring,2017.0,Casual,Gatsby Men Classic Deo
49094,Women,Personal Care,Makeup,Kajal and Eyeliner,Purple,Spring,2017.0,Casual,Deborah Kajal 119
26905,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Jealous 21 Women Off White Top
29171,Girls,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Casual,United Colors of Benetton Kids Girls Washed Blue Skirt
30860,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Fabindia Women Printed Maroon Kurta
8181,Men,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,Locomotive Men Check Ladislav Purple Shirts
21912,Women,Apparel,Apparel Set,Kurta Sets,Orange,Fall,2011.0,Ethnic,Biba Women Orange & Purple Churidar Kurta with Dupatta
